repo_name,commits
kwk/docker,284
zczc0128/docker,284
ngorskig/docker,284
tianon/docker,284
kunalkushwaha/docker,284
shuhuai007/docker,284
YuanZhewei/docker,284
Mic92/docker,284
14rcole/docker,284
LalatenduMohanty/docker,284
asbjornenge/docker,283
EricPai/docker,282
loodse/docker,282
rsmoorthy/docker-1,282
nnordrum/docker,282
masa-ike/docker,281
cwandrews/docker,281
Evalle/docker,281
maaquib/docker,277
tomzhang/docker,277
frachel/docker,276
twistlock/docker,271
mpatlasov/docker,271
rwincewicz/docker,271
gbarboza/docker,270
CodeJuan/docker,270
lyndaoleary/docker,270
wcwxyz/docker,270
circleci/docker,269
makinacorpus/docker,269
gesellix/docker,268
vincentbernat/docker,268
kdomanski/docker,268
RichardScothern/docker,267
harche/docker,267
ndeloof/docker,264
jrjang/docker,264
peterlei/docker,264
buddhamagnet/docker,264
flowlo/docker,261
Gobella/docker,261
BrickXu/docker,261
lyft/docker,260
dgageot/docker,260
jonathanperret/docker,260
Zenithar/docker,256
DDCCOE/docker,256
vegasbrianc/docker,256
chengjinlee/docker,256
linjk/docker,256
4devnull/docker,256
wagzhi/docker,256
beealone/docker,256
susan51531/docker,256
ferbe/docker,256
lordzero0000/docker,256
rajurs/docker,256
originye/docker,256
afein/docker,256
Sleepychord/docker,256
vyshaliOrg/docker,256
liusdu/docker,256
shot/docker,256
andrewnguyen/docker,256
KimTaehee/docker,256
micahhausler/docker,256
toophy/docker,256
franklyhuan/docker-1,256
errodr/docker,256
MarginC/docker,256
Means88/docker,256
erikh/docker,256
paulczar/docker,256
NathanMcCauley/docker,256
sidharta-s/docker,256
CodyGuo/docker,256
ideaar/docker,256
anhzhi/docker,256
portworx/docker,256
Jarema/docker,256
AnselZhangGit/docker,256
deletoe/docker,256
thomasfrancis1/docker,256
skoblenick/docker,256
mgireesh05/docker,256
markprokoudine/docker,256
bacoboy/docker,256
manchoz/docker,256
tklauser/docker,256
arnib/docker,256
krisdages/docker,256
ai-traders/docker,256
teotihuacanada/docker,256
natehefner/docker,256
lucasjo/docker,255
beni55/docker,255
wowsoso/docker,255
xiekeyang/docker,255
janghwan/docker,255
rabbitcount/docker,255
zhangg/docker,255
yangoliver/docker,255
matthiasr/docker,255
ygravrand/docker,254
danqingshui/docker,254
ZenikaOuest/docker,254
Yhgenomics/docker,254
morninj/docker,254
sharmasushant/docker,254
heartlock/docker,254
iskradelta/docker,254
xiaoshaozi52/docker,254
ydhydhjanson/docker,254
waghpooja/docker,254
FollowMyDev/docker,254
iaintshine/docker,254
awanke/docker,254
hewei10/docker,254
wesseljt/docker,254
chatenilesh/docker,254
matthewvalimaki/docker,254
keerthanabs1/docker,254
psquickitjayant/docker,254
adouang/docker,254
mheon/docker,254
justsml/docker,254
hbdrawn/docker,254
binario200/docker,254
mc2014/docker,254
srevereault/docker,254
carlosvquezada/docker,254
mj340522/docker,254
jordimassaguerpla/docker,254
chanwit/docker,254
bertyuan/docker,254
